Код;Артикул;Количество;Номенклатура;Наименование полное
170916;;;Валидатор купюроприемника (модель копюроприемника: NV200 Spectral);Валидатор купюроприемника (модель копюроприемника: NV200 Spectral)
170917;;;Модуль к купюроприемнику (мульти-номинальный модуль для выдачи сдачи SMART Payout;Модуль к купюроприемнику (мульти-номинальный модуль для выдачи сдачи SMART Payout
170918;;;Кассета на 1000 купюр к купюроприемнику (модель купюроприемника: NV200 Spectral);Кассета на 1000 купюр к купюроприемнику (модель купюроприемника: NV200 Spectral)
172238;301022227001;;Блок термозакрепления (100000 стр) оригинал для Pantum P3010/P3300/M6700/M6800/M7100/M7200/M7300 совместимые партномера 301022227001/302111001301;Блок термозакрепления (100000 стр) оригинал для Pantum P3010/P3300/M6700/M6800/M7100/M7200/M7300 совместимые партномера 301022227001/302111001301
172589;JC39-02022A;;Шлейф сканера совместимый для Samsung SLM 3870/3875/4070/4075, Xerox WC 3335/3345 совместимые партномера JC39-02022A/JC86-00123D;Шлейф сканера совместимый для Samsung SLM 3870/3875/4070/4075, Xerox WC 3335/3345 совместимые партномера JC39-02022A/JC86-00123D
172635;PA03586-K983;;Комплект насадок валов вывода совместимый для Fujitsu fi 5110/6110, ScanSnap S500/S500M/S510/S510M/N1800/S1500/S1500M совместимые партномера PA03586-K;Комплект насадок валов вывода совместимый для Fujitsu fi 5110/6110, ScanSnap S500/S500M/S510/S510M/N1800/S1500/S1500M совместимые партномера PA03586-K983/PA03586-K984/PA03360-Y101/PA03360-Y115
173530;140N63856;;Плата главная (форматтер, контроллер) оригинал для Xerox B210 совместимые партномера 140N63856;Плата главная (форматтер, контроллер) оригинал для Xerox B210 совместимые партномера 140N63856
173711;;;Одноплатный компьютер на базе процессора Broadcom BCM2711 [Cortex-A72 ARM v8 4x1,5 ГГц, ОЗУ 4 ГБ, 2хHDMI, 2xUSB2.0, 2xUSB3.0, Wi-Fi, BT, Ethernet];Одноплатный компьютер на базе процессора Broadcom BCM2711 [Cortex-A72 ARM v8 4x1,5 ГГц, ОЗУ 4 ГБ, 2хHDMI, 2xUSB2.0, 2xUSB3.0, Wi-Fi, BT, Ethernet]
173731;;;Накопитель USB 16 ГБ [металл. корпус, USB 2.0, чт.20 Мбит/с, зап.5 Мбит/с];Накопитель USB 16 ГБ [металл. корпус, USB 2.0, чт.20 Мбит/с, зап.5 Мбит/с]
173895;5098C002;;Картридж совместимый черный повышенный(7600стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5098C002;Картридж совместимый черный повышенный(7600стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5098C002
173897;5097C002;;Картридж совместимый голубой повышенный(5500стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5097C002;Картридж совместимый голубой повышенный(5500стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5097C002
173899;5096C002;;Картридж совместимый пурпурный повышенный(5500стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5096C002;Картридж совместимый пурпурный повышенный(5500стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5096C002
173901;5095C002;;Картридж совместимый желтый повышенный(5500стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5095C002;Картридж совместимый желтый повышенный(5500стр) для Canon i-SENSYS LBP673Cdw/MF752Cdw/MF754Cdw совместимые партномера 069H/5095C002
174761;JC73-00322B;;Накладка площадки отделения оригинал для Samsung CLP 360/365, CLX 3300/3302/3303/3304/3305, ML 1610/1660/1665/1667/1670/1676/1860/1865/1867, SCX 3200/;Накладка площадки отделения оригинал для Samsung CLP 360/365, CLX 3300/3302/3303/3304/3305, ML 1610/1660/1665/1667/1670/1676/1860/1865/1867, SCX 3200/3205/3206/3207/3217/3220, SLC 410/430/460/480 совместимые партномера JC73-00322B
175751;106R02773;;Картридж (4 шт. в упаковке) совместимый черный стандарт(1500*4стр) для Xerox Phaser 3020, WorkCentre 3025 совместимые партномера 106R03048/106R02773/C;Картридж (4 шт. в упаковке) совместимый черный стандарт(1500*4стр) для Xerox Phaser 3020, WorkCentre 3025 совместимые партномера 106R03048/106R02773/CS-PH3020/PH3020
175789;JC44-00195A;;Плата высоковольтная оригинал для Samsung SCX 3200/3205 совместимые партномера JC44-00195A;Плата высоковольтная оригинал для Samsung SCX 3200/3205 совместимые партномера JC44-00195A
175802;JC73-00321A;;Насадка ролика подхвата совместимая для Samsung ML 1660/1661/1665/1666/1667/1671/1672/1674/1675/1676/1677/1678/1860/1861/1865/1866/1867, SCX 3200/3201;Насадка ролика подхвата совместимая для Samsung ML 1660/1661/1665/1666/1667/1671/1672/1674/1675/1676/1677/1678/1860/1861/1865/1866/1867, SCX 3200/3201/3205/3206/3207 совместимые партномера JC73-00321A
176234;2190550;;Плата главная (форматтер, контроллер) оригинал для Epson L1100/L3100/L3101/L3110 совместимые партномера 2190550;Плата главная (форматтер, контроллер) оригинал для Epson L1100/L3100/L3101/L3110 совместимые партномера 2190550
176412;FM1-N289-000000;;Блок термозакрепления (100000 стр) совместимый для HP LJ 1320/1160/3390/3392, Canon LBP 3300/3360 совместимые партномера FM1-N289-000000/FM2-6718-0000;Блок термозакрепления (100000 стр) совместимый для HP LJ 1320/1160/3390/3392, Canon LBP 3300/3360 совместимые партномера FM1-N289-000000/FM2-6718-000000/RM1-1461-080CN/FM2-6704-000000/RM1-2337-000CN/RM1-1461-070CN/RM1-2326-000CN/RM1-1461-000/RM1-2337-010000/CS-FU-HP-LJ1320/RM1-2337-C/RM1-1461-C/RM1-2326-C
176833;;;Модуль зарядки АКБ МХ АКХ на базе XL4015;Модуль зарядки АКБ МХ АКХ на базе XL4015
176985;3430C001;;Печатающая головка оригинал цветной стандарт для Canon PIXMA G1420/G2420/G3420/G5040/G5050/G6040/G6050/G7040/G7050/GM2040/GM2050/GM4040/GM4050 совмест;Печатающая головка оригинал цветной стандарт для Canon PIXMA G1420/G2420/G3420/G5040/G5050/G6040/G6050/G7040/G7050/GM2040/GM2050/GM4040/GM4050 совместимые партномера 3430C001/CH-40/QY6-8037
178347;LT2793001;;Плата главная (форматтер, контроллер) оригинал для Brother DCP 7055/7057 совместимые партномера LT2793001/LT1142001;Плата главная (форматтер, контроллер) оригинал для Brother DCP 7055/7057 совместимые партномера LT2793001/LT1142001
